,bowler,wickets,matches,balls,A1index,A2index
42,PJ Sangwan,15,35,355,6.309523809523809,2.7092322643343048
43,M Ntini,5,9,158,5.481481481481483,3.112940100594422
44,JA Morkel,35,72,947,6.2932098765432105,3.060413213496418
45,DP Vijaykumar,3,9,104,6.018518518518518,2.0804755372656607
46,Gagandeep Singh,0,1,6,7.0,7.0
47,SC Ganguly,0,3,19,8.0,0.8888888888888888
48,AD Mascarenhas,12,13,168,5.420940170940171,5.036021342234361
49,PP Chawla,18,44,359,6.2771464646464645,2.5711658814383505
50,Shoaib Akhtar,5,3,46,3.35,5.955555555555556
51,PM Sarvesh Kumar,0,1,7,4.0,4.0
52,A Mishra,6,16,137,6.388020833333333,2.4204610188802085
53,V Sehwag,0,2,14,11.75,2.9375
54,Y Venugopal Rao,1,7,42,8.928571428571429,1.457725947521866
55,RR Raje,0,1,7,4.5,4.5
56,VS Yeligati,0,1,6,13.0,13.0
57,A Kumble,3,15,109,4.4222222222222225,0.9040987654320989
58,RR Powar,6,16,140,6.085937500000001,2.3059997558593754
59,A Nel,1,1,6,6.0,12.0
60,Pankaj Singh,8,15,155,6.383333333333335,3.4328148148148157
61,BAW Mendis,2,6,55,3.6666666666666665,1.3240740740740737
62,M Muralitharan,2,19,150,5.1535087719298245,0.5567502551392332
63,Kamran Khan,5,7,84,6.964285714285714,5.11661807580175
64,T Thushara,3,4,63,2.864583333333333,2.327473958333333
65,A Flintoff,0,2,12,10.5,2.625
66,SL Malinga,40,117,1164,4.8592117758784426,1.6616239552112637
67,DP Nannes,17,29,368,4.6963601532567045,2.7586229675491225
68,AM Salvi,1,7,67,7.25,1.183673469387755
69,YA Abdulla,7,10,89,5.558333333333334,3.9464166666666665
70,VS Malik,4,12,130,6.094907407407407,2.0739615483539096
71,FH Edwards,4,6,82,3.342592592592593,2.3212448559670786
72,Harmeet Singh,6,13,90,6.884615384615385,3.218252162039144
73,L Balaji,16,48,471,5.454861111111112,1.820654598283179
74,MC Henriques,8,21,180,7.325396825396826,2.807238239211028
75,Anureet Singh,7,18,166,6.00462962962963,2.353666552354824
76,RR Bose,0,1,12,12.0,12.0
77,Harbhajan Singh,32,79,761,5.710267229254571,2.31393459746592
78,DR Smith,5,11,67,9.333333333333334,4.319559228650138
79,SK Raina,2,8,66,6.59375,1.75146484375
80,KP Pietersen,1,2,20,4.583333333333333,3.4375
81,RE van der Merwe,4,6,38,6.583333333333333,4.5717592592592595
82,M Kartik,8,26,184,5.935897435897435,1.8352108936428462
83,CH Gayle,3,13,128,5.977564102564102,1.4148080716128053
84,S Tyagi,5,13,174,6.506410256410256,2.5409649522075557
85,Shoaib Ahmed,1,3,18,11.666666666666666,5.185185185185185
86,LR Shukla,0,5,27,9.0,0.36
87,GR Napier,0,1,6,3.0,3.0
88,JD Ryder,0,1,6,7.0,7.0
89,RA Jadeja,6,17,135,7.093137254901961,2.528003935138069
90,SM Harwood,1,3,19,1.3333333333333333,0.5925925925925926
91,D du Preez,3,2,18,5.125,8.96875
92,AM Nayar,0,1,6,10.0,10.0
93,RJ Harris,14,36,449,4.965277777777778,1.934772590877915
94,RG Sharma,2,8,53,5.708333333333333,1.5162760416666665
95,A Singh,13,21,276,5.214285714285715,3.2397149335924853
96,BJ Hodge,0,6,37,8.666666666666666,0.24074074074074073
97,M Morkel,37,70,958,4.972420634920633,2.629294258179461
98,LA Carseldine,1,1,7,1.5,3.0
99,SS Sarkar,0,1,6,15.0,15.0
100,A Mithun,1,9,71,6.583333333333333,0.8127572016460906
101,A Symonds,5,14,118,4.257936507936508,1.542415775834143
102,AD Mathews,6,19,129,7.2894736842105265,2.322131506050445
103,DJ Hussey,0,5,37,8.9,0.35600000000000004
104,JP Duminy,3,20,166,6.866666666666667,1.0471666666666668
105,SK Warne,1,6,37,8.083333333333334,1.5717592592592595
106,Mashrafe Mortaza,0,1,13,8.666666666666666,8.666666666666666
107,B Akhil,0,1,6,12.0,12.0
108,CK Langeveldt,6,7,90,3.357142857142857,2.946064139941691
109,R Ashwin,45,95,951,5.395029239766083,2.556137953378368
110,RA Shaikh,0,1,6,11.0,11.0
111,TM Dilshan,0,6,44,7.75,0.2152777777777778
112,SB Jakati,1,11,97,8.352272727272727,0.8283245679939893
113,Jaskaran Singh,2,4,46,4.708333333333334,2.6484375000000004
114,SW Tait,7,21,265,5.42063492063492,1.8191699960407441
115,A Uniyal,1,1,13,3.6666666666666665,7.333333333333333
116,R McLaren,4,15,158,6.288888888888889,1.7049876543209874
117,AG Murtaza,3,9,79,3.1944444444444446,1.1042524005486969
118,SE Bond,4,8,92,4.604166666666667,2.3740234375
119,S Ladda,1,3,18,7.666666666666667,3.4074074074074074
120,KA Pollard,1,6,39,8.166666666666666,1.587962962962963
121,Joginder Sharma,0,3,28,6.722222222222222,0.7469135802469136
122,UT Yadav,47,104,1124,5.994257478632479,2.709497486412185
123,R Bhatia,0,2,12,12.5,3.125
124,SJ Srivastava,5,13,142,6.572649572649573,2.5668335609164012
125,Y Nagar,0,1,6,10.0,10.0
126,J Theron,1,7,64,7.333333333333333,1.1972789115646258
127,S Narwal,4,5,69,8.537499999999998,7.171499999999998
128,AA Jhunjhunwala,0,4,32,8.25,0.515625
129,R Sharma,2,13,90,6.4423076923076925,1.0292444242148386
130,KAJ Roach,0,2,19,6.666666666666667,1.6666666666666667
131,AB McDonald,3,6,43,6.111111111111112,3.2253086419753085
132,AC Voges,0,2,13,10.75,2.6875
133,MB Parmar,0,1,7,7.0,7.0
134,SB Wagh,4,8,92,6.28125,3.23876953125
135,DE Bollinger,11,27,339,5.907407407407407,2.4148249758675
136,JD Unadkat,22,69,594,6.822866344605476,2.1768397348153155
137,DL Vettori,2,12,91,5.75,0.998263888888889
138,AP Dole,2,3,35,5.703703703703703,4.436213991769548
139,MR Marsh,4,10,78,8.65,3.5464999999999995
140,L Ablish,1,2,12,10.0,7.5
141,Iqbal Abdulla,15,29,280,5.048850574712644,2.6174778247023935
142,TG Southee,12,39,504,6.069088319088318,1.8714019866222362
143,S Randiv,0,2,14,5.25,1.3125
144,J Botha,4,20,196,6.729166666666666,1.3626562499999997
145,DT Christian,8,23,188,5.771739130434782,2.018472096654886
146,AC Thomas,8,14,167,4.44047619047619,2.5600704567541297
147,WD Parnell,10,26,289,5.919337606837607,2.285424726900319
148,NJ Rimmington,0,1,12,7.0,7.0
149,JJ van der Wath,0,3,33,8.38888888888889,0.9320987654320988
150,S Aravind,21,38,442,5.9261695906432745,3.27909245354846
151,Shakib Al Hasan,18,44,401,6.009469696969697,2.461523486413724
152,AL Menaria,1,5,50,5.133333333333334,1.232
153,ND Doshi,1,3,18,8.333333333333334,3.703703703703704
154,NLTC Perera,6,25,182,6.573333333333334,1.5881173333333336
155,AN Ahmed,3,16,143,6.380208333333333,1.2212117513020835
156,BA Bhatt,4,12,97,6.25,2.126736111111111
157,J Syed Mohammad,1,2,18,6.25,4.6875
158,NL McCullum,0,1,12,6.0,6.0
159,JE Taylor,0,5,51,5.6,0.22399999999999998
160,KMDN Kulasekara,4,5,71,3.7166666666666663,3.122
161,Bipul Sharma,5,10,75,4.575,2.33325
162,P Parameswaran,2,5,37,6.65,2.9260000000000006
163,B Kumar,53,121,1497,4.525769054178146,1.9826707679460849
164,VR Aaron,14,39,393,6.836894586894587,2.458764851434148
165,AA Chavan,3,12,149,5.694444444444444,1.4631558641975309
166,Anand Rajan,0,5,46,5.1,0.204
167,RW Price,0,1,6,14.0,14.0
168,JEC Franklin,1,2,12,8.0,6.0
169,GJ Maxwell,3,13,98,9.320512820512821,2.2060385373994844
170,M de Lange,2,5,65,6.7666666666666675,2.977333333333334
171,MN Samuels,3,9,80,5.222222222222222,1.805212620027435
172,JP Faulkner,14,43,353,6.5665374677002575,2.1414938307318847
173,KK Cooper,4,16,100,5.791666666666667,1.4705403645833333
174,Ankit Sharma,6,16,146,5.914930555555555,2.2412041558159723
175,DAJ Bracewell,0,1,6,7.0,7.0
176,SP Narine,25,100,741,5.391388888888889,1.348386361111111
177,HV Patel,10,36,260,6.974537037037037,1.9427529863968909
178,RR Bhatkal,0,1,6,20.0,20.0
179,P Awana,14,27,276,6.27417695473251,3.261883492240907
180,S Nadeem,10,37,304,7.04054054054054,1.9079916293210666
181,CJ McKay,0,2,12,13.0,3.25
182,V Pratap Singh,3,8,100,6.53125,2.55126953125
183,STR Binny,8,22,160,5.462121212121212,1.9975112697220134
184,GB Hogg,5,6,49,3.513888888888889,3.025848765432099
185,Azhar Mahmood,6,17,148,5.284313725490197,1.883336725693738
186,A Chandila,10,12,144,5.580092592592593,4.688827803497943
187,LJ Wright,0,1,6,12.0,12.0
188,RJ Peterson,0,2,12,5.0,1.25
189,R Shukla,4,6,55,6.111111111111112,4.243827160493828
190,KP Appanna,0,2,20,8.666666666666666,2.1666666666666665
191,BW Hilfenhaus,13,17,252,4.102941176470588,3.151740280887441
192,S Dhawan,1,3,18,7.666666666666667,3.4074074074074074
193,AD Russell,15,37,354,6.953453453453453,2.8240468371951204
194,TP Sudhindra,0,2,26,6.666666666666667,1.6666666666666667
195,A Ashish Reddy,0,1,6,20.0,20.0
196,K Upadhyay,0,3,37,9.583333333333334,1.0648148148148149
197,Sunny Gupta,0,1,6,12.0,12.0
198,MG Johnson,26,52,653,5.644497863247863,2.824336393851464
199,JJ Bumrah,21,88,690,5.369002525252525,1.281932550257221
200,S Badree,7,12,160,6.435185185185186,3.798546810699589
201,AS Rajpoot,9,21,286,7.246031746031745,3.1218730878594823
202,GH Vihari,1,4,24,7.875,2.4609375
203,Mohammed Shami,18,56,686,7.064732142857143,2.273059544688411
204,CH Morris,21,60,622,5.821527777777777,2.0391518132716047
205,Harmeet Singh (2),0,1,13,7.666666666666667,7.666666666666667
206,S Kaul,12,39,300,7.801282051282053,2.4055235253460108
207,AJ Finch,0,1,6,3.0,3.0
208,MM Sharma,37,76,812,6.669590643274854,3.2481922575367324
209,R Rampaul,8,12,160,4.104166666666667,2.764612268518519
210,SMSM Senanayake,4,8,129,4.390625,2.263916015625
211,R Dhawan,2,10,80,7.075,1.4857500000000001
212,JO Holder,8,15,183,7.146296296296296,3.843119341563786
213,IC Pandey,12,22,269,5.873737373737373,3.2159925703314127
214,DJG Sammy,1,3,25,5.777777777777778,2.567901234567901
215,KV Sharma,7,23,160,5.815217391304348,1.780841620777513
216,KW Richardson,10,14,167,4.244047619047619,3.053115889212828
217,TL Suman,0,1,6,6.0,6.0
218,P Suyal,1,5,65,6.45,1.548
219,MG Neser,0,1,6,18.0,18.0
220,Parvez Rasool,1,8,66,8.875,1.248046875
221,Sandeep Sharma,54,92,1273,5.3777173913043494,3.15712165848196
222,PV Tambe,3,13,80,7.461538461538462,1.766044606281293
223,NM Coulter-Nile,13,29,349,5.463601532567051,2.455697240559269
224,CJ Anderson,2,8,74,8.208333333333334,2.180338541666667
225,MA Starc,9,26,312,4.804487179487179,1.6701989455317854
226,AR Patel,10,49,327,6.802721088435375,1.3911437127954056
227,SA Yadav,0,1,6,8.0,8.0
228,Imran Tahir,3,9,55,7.722222222222222,2.6694101508916326
229,YS Chahal,16,41,359,7.176829268292683,2.8049832416825056
230,BCJ Cutting,0,6,44,8.416666666666666,0.23379629629629628
231,BE Hendricks,1,7,64,8.238095238095237,1.3449951409135081
232,K Santokie,1,2,20,7.583333333333333,5.6875
233,PJ Cummins,14,29,354,5.58448275862069,2.702597482471606
234,JW Hastings,1,3,39,5.527777777777778,2.45679012345679
235,S Gopal,8,13,96,6.461538461538462,4.014565316340464
236,JDS Neesham,1,4,31,10.208333333333334,3.1901041666666665
237,DJ Hooda,1,9,56,7.833333333333333,0.9670781893004116
238,D Wiese,6,9,63,3.5833333333333335,2.4331275720164607
239,MJ McClenaghan,32,55,684,5.538636363636364,3.2243102930127723
240,DJ Muthuswami,3,6,72,7.847222222222222,4.141589506172839
241,SA Abbott,0,2,18,13.5,3.375
242,KC Cariappa,0,6,37,9.166666666666666,0.2546296296296296
243,TA Boult,26,49,650,5.593962585034013,2.9705548920942797
244,J Suchith,2,6,49,7.291666666666667,2.6331018518518516
245,Karanveer Singh,0,1,12,13.0,13.0
246,SN Thakur,12,37,351,6.852477477477478,2.227430589830152
247,RG More,0,1,6,15.0,15.0
248,GS Sandhu,0,1,6,7.0,7.0
249,J Yadav,2,11,123,5.401515151515151,1.0267342849987477
250,Gurkeerat Singh,0,2,12,9.5,2.375
251,P Negi,3,5,42,7.55,4.832
252,BB Sran,6,22,242,7.445075757575759,2.0458575945404465
253,MP Stoinis,5,13,86,7.833333333333333,3.059171597633136
254,Mustafizur Rahman,6,19,154,5.030701754385965,1.6025781212032852
255,AF Milne,0,4,45,7.791666666666667,0.4869791666666667
256,M Ashwin,0,5,39,9.6,0.384
257,CR Brathwaite,1,4,24,7.0,2.1875
258,KH Pandya,11,35,263,5.988095238095238,1.8868610301263362
259,KJ Abbott,0,5,44,7.966666666666666,0.31866666666666665
260,P Sahu,0,1,7,5.5,5.5
261,SM Boland,1,2,18,4.25,3.1875
262,CJ Jordan,3,12,84,7.375,1.894965277777778
263,S Kaushik,0,2,19,10.25,2.5625
264,A Zampa,0,1,7,4.5,4.5
265,M Vijay,0,1,7,4.0,4.0
266,DL Chahar,33,49,832,5.3059807256235825,3.5756254952348843
267,KS Williamson,0,1,6,7.0,7.0
268,TS Mills,3,5,45,4.833333333333333,3.0933333333333333
269,A Choudhary,3,4,37,5.5,4.46875
270,Rashid Khan,7,20,130,5.7333333333333325,2.0209999999999995
271,BA Stokes,9,26,185,7.548076923076923,2.6239616522530724
272,HH Pandya,5,20,159,8.179166666666665,2.0652395833333332
273,CR Woakes,4,15,139,8.561111111111112,2.321012345679012
274,B Stanlake,2,6,89,4.631944444444445,1.6726466049382716
275,Tejas Baroka,0,1,6,8.0,8.0
276,Kuldeep Yadav,0,8,58,6.020833333333333,0.09407552083333333
277,Basil Thampi,2,13,124,9.500000000000002,1.5177514792899414
278,AJ Tye,12,23,174,6.114130434782608,3.201538998931536
279,LH Ferguson,2,10,83,8.408333333333333,1.76575
280,Mohammad Nabi,7,12,138,5.083333333333333,3.0005787037037037
281,Mohammed Siraj,12,26,236,7.528846153846154,3.4859894173873465
282,K Rabada,10,35,324,6.14047619047619,1.7594344023323614
283,Washington Sundar,9,25,281,6.336666666666668,2.291338666666667
284,SS Agarwal,0,1,6,11.0,11.0
285,NB Singh,1,2,25,2.666666666666667,2.0000000000000004
286,T Natarajan,5,14,127,6.589285714285714,2.386935131195335
287,Ankit Soni,1,1,6,1.5,3.0
288,C de Grandhomme,0,2,14,4.0,1.0
289,MJ Henry,0,2,18,12.25,3.0625
290,R Tewatia,0,2,12,7.5,1.875
291,Avesh Khan,4,10,116,8.499999999999998,3.4849999999999985
292,NA Saini,6,24,248,6.510416666666667,1.6389069733796298
293,MM Ali,0,4,30,7.375,0.4609375
294,M Prasidh Krishna,3,24,276,7.972222222222221,1.0103684413580245
295,Rasikh Salam,0,1,14,5.666666666666667,5.666666666666667
296,K Gowtham,9,22,213,7.7272727272727275,3.177122464312547
297,JC Archer,17,35,355,4.515873015873017,2.1971104632329124
298,SM Curran,5,19,224,6.798245614035089,1.8078437089954806
299,Mujeeb Ur Rahman,5,12,136,4.666666666666667,1.976851851851852
300,CV Varun,1,7,48,8.321428571428571,1.358600583090379
301,GC Viljoen,3,5,37,5.85,3.7439999999999998
302,S Lamichhane,5,8,72,6.15625,3.94384765625
303,MJ Santner,2,5,39,6.85,3.0140000000000002
304,JP Behrendorff,3,5,80,7.3,4.672
305,SC Kuggeleijn,0,1,6,11.0,11.0
306,RD Chahar,3,9,61,7.333333333333333,2.5349794238683128
307,AS Joseph,1,3,24,7.166666666666667,3.185185185185185
308,HF Gurney,2,6,70,3.902777777777778,1.4093364197530864
309,KK Ahmed,12,17,223,6.083333333333333,4.315167243367935
310,Arshdeep Singh,5,10,128,6.0472222222222225,3.084083333333333
311,B Laughlin,3,5,37,7.0,4.48
312,TK Curran,1,7,44,7.785714285714286,1.271137026239067
313,K Khejroliya,0,1,12,9.5,9.5
314,A Dananjaya,0,1,6,12.0,12.0
315,Shivam Mavi,5,15,161,6.655555555555554,2.2480987654320983
316,N Rana,0,3,13,2.0,0.2222222222222222
317,LE Plunkett,1,7,44,9.357142857142858,1.5276967930029155
318,L Ngidi,7,11,117,4.569444444444444,2.945592286501377
319,KM Asif,3,2,26,2.3055555555555554,4.034722222222222
320,DJ Willey,0,3,24,10.333333333333334,1.1481481481481481
321,JPR Scantlebury-Searles,0,1,7,6.5,6.5
322,CJ Dala,0,1,7,8.5,8.5
323,KMA Paul,0,1,7,8.0,8.0
324,Harpreet Brar,0,3,18,10.333333333333334,1.1481481481481481
325,Y Prithvi Raj,0,2,13,12.5,3.125
326,O Thomas,2,4,37,8.208333333333332,4.6171875
327,S Sandeep Warrier,2,4,68,5.861111111111111,3.296875
328,R Parag,1,1,6,5.0,10.0
329,IS Sodhi,2,1,12,2.8333333333333335,8.500000000000002
330,JL Pattinson,4,10,107,7.166666666666666,2.9383333333333326
331,SS Cottrell,4,6,92,4.7569444444444455,3.3034336419753094
332,A Nortje,6,16,164,7.276041666666666,2.7569376627604165
333,V Shankar,0,2,11,7.0,1.75
334,JR Hazlewood,1,3,42,4.833333333333333,2.148148148148148
335,Ravi Bishnoi,1,5,35,6.2,1.488
336,I Udana,2,7,57,8.571428571428571,2.623906705539359
337,Kartik Tyagi,3,9,77,7.194444444444445,2.486968449931413
338,KL Nagarkoti,0,3,24,7.833333333333333,0.8703703703703703
339,TU Deshpande,1,4,38,8.125,2.5390625
340,CJ Green,0,1,12,8.0,8.0
341,DR Sams,0,3,33,7.5555555555555545,0.839506172839506
342,Monu Kumar,0,1,8,3.5,3.5
343,KA Jamieson,0,1,12,3.5,3.5
344,M Jansen,0,1,7,7.0,7.0
